,contact_id,since_date,order_number,plan,transaction_date,section_name,row_name,first_seat,last_seat,num_seats,FSE,plan_base_price,pricecode,section_listing,eventcode,tickettypesid,sales_rep,9%
6025,11793386,3/25/2022,1999272-1,Full Season,4/28/2022,113,X,3,4,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,David Ortiz,4028.6400000000003
6026,16413478,3/16/2022,1999275-1,Full Season,4/28/2022,121,F,13,14,2,2.0,8400,FFN,Sideline Preferred,FS22,New Full Season,Stefan Noesen,9156.0
6027,13473747,3/16/2022,1999278-1,Full Season,4/28/2022,114,X,5,6,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Stefan Noesen,4028.6400000000003
6028,13473747,3/16/2022,1999278-2,Full Season,4/28/2022,114,X,3,4,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Stefan Noesen,4028.6400000000003
6029,4188167,3/18/2022,1999279-1,Full Season,4/28/2022,102,K,10,10,1,1.0,4200,FFN,Sideline Preferred,FS22,New Full Season,Jaccob Slavin,4578.0
6030,1993537,3/14/2022,1999283-1,Full Season,4/28/2022,331,F,1,2,2,2.0,2184,YFN,Shoot Twice Goal Zone,FS22,New Full Season,Alexander Nikishin,2380.5600000000004
6031,9213520,3/21/2022,1999289-1,Full Season,4/28/2022,114,XX,3,6,4,4.0,7392,KPN,Lower Level North,FS22,New PH Full Season,Stefan Noesen,8057.280000000001
6032,5730340,3/29/2022,1999290-1,Full Season,4/28/2022,308,E,3,4,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Jaccob Slavin,1922.7600000000002
6033,13057547,3/21/2022,1999292-1,Full Season,4/28/2022,313,D,15,15,1,1.0,882,ZFN,FanZone,FS22,New Full Season,Samuel Adams,961.3800000000001
6034,5502552,3/28/2022,1999293-1,Full Season,4/28/2022,124,S,1,2,2,2.0,5628,IFN,Lower Level South,FS22,New Full Season,Wayne Gretzky,6134.52
6035,7377679,3/14/2022,1999298-1,Full Season,4/28/2022,127,W,1,2,2,2.0,5628,IFN,Lower Level South,FS22,New Full Season,Michael Jordan,6134.52
6036,388645,4/21/2022,1999299-1,Full Season,4/28/2022,308,L,14,15,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Alexander Nikishin,1922.7600000000002
6037,16543540,4/4/2022,1999300-1,Full Season,4/28/2022,308,L,12,13,2,2.0,1764,ZFN,FanZone,FS22,New Full Season,Brady Skjei,1922.7600000000002
6038,16504679,3/29/2022,1999302-1,Full Season,4/28/2022,121,Z,13,14,2,2.0,8400,FFN,Sideline Preferred,FS22,New Full Season,Earvin Johnson,9156.0
6039,5581405,3/21/2022,1999304-1,Full Season,4/28/2022,201,A,15,16,2,2.0,5628,SPN,Club Select,FS22,New PH Full Season,Jesper Fast,6134.52
6040,11264570,2/14/2022,1999308-1,Full Season,4/28/2022,316,F,1,3,3,3.0,2646,ZFN,FanZone,FS22,New Full Season,Jordan Martinook,2884.1400000000003
6041,16341136,3/15/2022,1999310-1,Full Season,4/28/2022,319,E,13,13,1,1.0,882,ZFN,FanZone,FS22,New Full Season,Paul Stastny,961.3800000000001
6042,13897327,3/15/2022,1999316-1,Full Season,4/28/2022,125,E,1,2,2,2.0,7560,HFN,Lower Level South Preferred,FS22,New Full Season,Michael Jordan,8240.400000000001
6043,16227996,3/15/2022,1999320-1,Full Season,4/28/2022,112,W,6,9,4,4.0,9744,KFN,Lower Level North,FS22,New Full Season,Michael Jordan,10620.960000000001
6044,16052171,3/14/2022,1999321-1,Full Season,4/28/2022,116,D,1,2,2,2.0,6888,GFN,Sideline  ,FS22,New Full Season,Dominique Wilkins,7507.920000000001
6045,13895098,3/29/2022,1999323-1,Full Season,4/28/2022,126,V,3,4,2,2.0,5628,IFN,Lower Level South,FS22,New Full Season,Jimmy Butler,6134.52
6046,14808773,3/15/2022,1999324-1,Full Season,4/28/2022,113,X,9,12,4,4.0,7392,KPN,Lower Level North,FS22,New PH Full Season,Earvin Johnson,8057.280000000001
6047,4634816,3/21/2022,1999325-1,Full Season,4/28/2022,322,C,1,2,2,2.0,2100,XPN,Terrace Value,FS22,New PH Full Season,Wayne Gretzky,2289.0
6048,16417173,3/17/2022,1999329-1,Full Season,4/28/2022,104,H,1,4,4,4.0,21000,CFN,Center Ice Preferred,FS22,New Full Season,Domenik Bokk,22890.0
6049,9407510,3/2/2022,1999330-1,Full Season,4/28/2022,126,N,8,9,2,2.0,5628,IFN,Lower Level South,FS22,New Full Season,Sebastian Aho,6134.52
6050,14022327,3/29/2022,1999332-1,Full Season,4/28/2022,114,XX,20,21,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Jordan Martinook,4028.6400000000003
6051,12550638,3/18/2022,1999334-1,Full Season,4/28/2022,112,Y,3,4,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Paul Stastny,4028.6400000000003
6052,16651192,4/28/2022,1999335-1,Full Season,4/28/2022,118,A,1,2,2,2.0,17220,AFN,Row 1,FS22,New Full Season,Brady Skjei,23014.53
6053,13967804,3/29/2022,1999336-1,Full Season,4/28/2022,114,S,9,10,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Jesperi Kotkaniemi,4028.6400000000003
6054,16279026,3/22/2022,1999341-1,Full Season,4/28/2022,223,B,20,21,2,2.0,7644,SFN,Club Select,FS22,New Full Season,Jesperi Kotkaniemi,8331.960000000001
6055,166378,6/1/2001,1999342-1,Full Season,4/28/2022,326,C,11,12,2,2.0,3696,WFR,Terrace Preferred,FS22,Renewed Full Season,David Ortiz,4028.6400000000003
6056,6955361,8/17/2020,1999345-2,Full Season,4/28/2022,112,V,9,10,2,2.0,3696,KPU,Lower Level North,FS22,Renewed PH Full Season,Sebastian Aho,4028.6400000000003
6057,13220622,3/18/2022,1999347-1,Full Season,4/28/2022,107,Z,3,3,1,1.0,3444,GFN,Sideline  ,FS22,New Full Season,Samuel Adams,3753.9600000000005
6058,7403590,4/1/2022,1999352-1,Full Season,4/28/2022,127,L,1,2,2,2.0,7560,HFN,Lower Level South Preferred,FS22,New Full Season,Stefan Noesen,8240.400000000001
6059,11472727,4/28/2022,1999353-3,Full Season,4/28/2022,314,H,20,20,1,1.0,882,ZFN,FanZone,FS22,New Full Season,David Ortiz,961.3800000000001
6060,2946582,2/19/2018,1999354-1,Full Season,4/28/2022,122,X,10,11,2,2.0,4620,GPN,Sideline  ,FS22,New PH Full Season,Sebastian Aho,5035.8
6061,16610560,4/13/2022,1999364-1,Full Season,4/28/2022,301,D,11,12,2,2.0,2100,XPN,Terrace Value,FS22,New PH Full Season,Samuel Adams,2289.0
6062,12313863,4/27/2022,1999365-1,Full Season,4/28/2022,322,C,7,8,2,2.0,2100,XPN,Terrace Value,FS22,New PH Full Season,Stefan Noesen,2289.0
6063,429134,4/27/2022,1999367-1,Full Season,4/28/2022,101,K,5,6,2,2.0,6888,GFN,Sideline  ,FS22,New Full Season,Alexander Nikishin,7507.920000000001
6064,9266895,4/28/2022,1999368-1,Partial Season,4/28/2022,GA4,G3,34,34,1,0.25,1716,D1N,Center Ice  ,22FLEX11,New Partial Season,Jordan Martinook,1870.44
6065,190644,10/21/2021,1999373-1,Full Season,4/28/2022,210,E,8,9,2,2.0,12768,NFR,Champions Club,FS22,Renewed Full Season,Shayne Gostisbehere,13917.12
6066,15235242,4/11/2022,1999374-1,Full Season,4/28/2022,114,Y,3,4,2,2.0,3696,KPN,Lower Level North,FS22,New PH Full Season,Paul Stastny,4028.6400000000003
6067,15725177,4/12/2022,1999375-1,Full Season,4/28/2022,106,B,11,12,2,2.0,10500,BFN,Row 2,FS22,New Full Season,Domenik Bokk,12180.0
6068,15725177,4/12/2022,1999375-2,Full Season,4/28/2022,106,B,13,13,1,1.0,5250,BFN,Row 2,FS22,New Full Season,Domenik Bokk,6090.0
6069,10677986,4/12/2022,1999381-1,Full Season,4/28/2022,202,A,1,3,3,3.0,8442,SPN,Club Select,FS22,New PH Full Season,Michael Jordan,9201.78
6070,15723452,4/6/2022,1999382-1,Full Season,4/28/2022,122,H,7,8,2,2.0,6888,GFN,Sideline  ,FS22,New Full Season,Jesper Fast,7507.920000000001
6071,11600413,4/11/2022,1999383-1,Full Season,4/28/2022,111,W,8,11,4,4.0,7392,KPN,Lower Level North,FS22,New PH Full Season,Brady Skjei,8057.280000000001
6072,14771049,4/14/2022,1999385-1,Full Season,4/28/2022,333,E,1,4,4,4.0,4368,YFN,Shoot Twice Goal Zone,FS22,New Full Season,Paul Stastny,4761.120000000001
6073,13413096,3/31/2022,1999387-1,Full Season,4/28/2022,222,D,5,6,2,2.0,7644,SFN,Club Select,FS22,New Full Season,Michael Jordan,8331.960000000001
6074,16043028,4/13/2022,1999396-1,Full Season,4/28/2022,106,B,1,2,2,2.0,10500,BFN,Row 2,FS22,New Full Season,Jordan Martinook,12180.0
6075,11611982,4/5/2022,1999397-1,Full Season,4/28/2022,120,XX,9,12,4,4.0,13104,EPN,Center Ice Top 8,FS22,New PH Full Season,Andrei Svechnikov,14283.36
6076,11662476,4/5/2022,1999398-1,Full Season,4/28/2022,324,H,3,3,1,1.0,2016,VFN,Center Ice Terrace,FS22,New Full Season,Brady Skjei,2197.44
